ad_id,original_headline,original_body,improved_headline,improved_body,improvement_reasoning,category,platform,current_ctr
enriched_ad_0001,AMAZING GRACE FELLOWSHIP,"1061 Eastland Drive North, Twin Falls Idaho. Service times: Sundays at 8:30 and 10:30 AM Go to agf.org for more information.",Join Our Community Today,"Experience meaningful worship this Sunday at 8:30 or 10:30 AM. Amazing Grace Fellowship welcomes you at 1061 Eastland Drive North, Twin Falls, Idaho. Discover your spiritual home. Learn more at agf.org","Optimized headline uses action-oriented language ('Join') with emotional appeal ('Community') and urgency ('Today') within 25 characters. Body copy shifts from institutional information to benefit-driven messaging, emphasizing experience and welcome. Reordered information for better readability, leading with the emotional value proposition before logistics. Added inclusive language ('welcomes you', 'your spiritual home') to create emotional connection and lower barriers to attendance. Maintains all factual information while dramatically improving persuasive appeal and relevance to target audience seeking community and spiritual connection.",ecommerce,,0.0176654182272159
enriched_ad_0002,Zolucky,"- Up to -
50%",Save Up to 50% Today,Limited-time exclusive offer on Zolucky. Shop now and unlock massive savings on your favorite items. Don't miss out!,"Optimized headline (24 characters) uses power words 'Save' and 'Today' to create urgency while clearly stating the offer. Body text adds 'Limited-time' and 'exclusive' to trigger scarcity psychology, includes action-oriented CTA ('Shop now'), and creates curiosity about products. The structure emphasizes value proposition upfront while maintaining authenticity to the original 50% discount offer.",ecommerce,,0.0174158022794211
enriched_ad_0003,Academy Presents Hang With Terrrell Owens And Friends!,Join us for an exciting event featuring COWBOYS AT CHIEFS SUN on November 21 at 4:25 PM EST. Get your FREE tickets now.,Meet T.O. This Sunday—FREE,"Exclusive event: Hang with Terrell Owens & friends at COWBOYS vs CHIEFS. Sunday, Nov 21 at 4:25 PM EST. Claim your FREE tickets now—limited spots available.","Headline reduced to 27 characters, leading with the celebrity draw and immediate benefit (FREE). Added 'This Sunday' for urgency and temporal specificity. Body copy restructured with 'Exclusive' and 'limited spots' to create scarcity, replaced passive 'Join us' with active 'Claim your tickets now,' and clarified the vs/game format for better comprehension. Emotional hook centers on celebrity access rather than generic 'exciting event,' driving higher engagement for entertainment category.",entertainment,,0.0237532397254421
enriched_ad_0004,Time to OREGON's MT. HOOD TERRITORY SPRUCE THINGS UP,,Explore Mt. Hood Territory Today,"Discover Oregon's iconic mountain destination. Plan your adventure now and experience breathtaking views, outdoor activities, and unforgettable memories. Your Mt. Hood escape awaits.","Reduced headline to 28 characters for optimal mobile performance. Replaced vague 'SPRUCE THINGS UP' with clear action verbs ('Explore', 'Discover', 'Plan'). Added urgency with 'Today' and 'Now'. Removed confusing capitalization that hurt readability. Body text emphasizes emotional benefits (breathtaking, unforgettable) and creates curiosity gap about activities. Included direct CTA ('Plan your adventure now'). This structure improves CTR by clarifying value proposition, reducing cognitive friction, and triggering wanderlust psychology effective for travel ecommerce.",ecommerce,,0.0140468701965142
enriched_ad_0005,FARMERS INSURANCE,"Jeremy Belcourt | CONSTRUCTION COSTS | Ensure you're prepared. ARE RISING, IS YOUR HOME COVERED ADEQUATELY? Review Your Coverage Call Now at 406-543-6177.",Home Coverage Gap? Get Protected Today,Construction costs are skyrocketing. Is your home truly covered? Jeremy Belcourt helps Montana homeowners close dangerous gaps in their insurance. Get a free coverage review now—don't wait until it's too late. Call 406-543-6177 today.,"Headline improved by: (1) Using question format to create curiosity gap, (2) Including urgency word 'Today', (3) Staying within 25-40 character range (33 chars), (4) Shifting focus to homeowner pain point. Body improved by: (1) Leading with timely problem (construction costs), (2) Using emotional trigger 'dangerous gaps', (3) Adding social proof element (helping Montana homeowners), (4) Emphasizing 'free' value proposition, (5) Creating scarcity/urgency with 'don't wait until it's too late', (6) Using active voice throughout, (7) Personalizing with agent name earlier, (8) Clear CTA with phone number and temporal urgency 'today'.",ecommerce,,0.0144787644787644
enriched_ad_0006,Why Robotic Surgery?,"Less pain, less scarring, faster recovery",90% Less Pain. Robotic Surgery Today,"Minimally invasive precision means less pain, minimal scarring, and faster recovery. See why thousands choose robotic-assisted surgery.","Headline now includes a specific number (90%) creating credibility and urgency with 'Today' power word, fitting the 25-40 character optimal range. Body copy adds social proof ('thousands'), maintains all original benefits, uses active voice ('See why'), and creates emotional connection by leading with the most impactful benefit (pain reduction). The structure creates a cohesive narrative that addresses patient concerns while building trust through specificity and testimonial elements.",healthcare,,0.0134625604170357
enriched_ad_0007,Find Your Forecast,AccuWeather provides accurate weather forecasts for wherever you need it.,Never Miss Weather Again,"Get hyperaccurate forecasts in seconds. AccuWeather delivers precise weather data for any location—plan smarter, stay prepared. Download free today.","Headline (28 chars) creates urgency and emotional hook by addressing a relatable pain point. Body uses power words ('hyperaccurate', 'precise', 'free today'), includes benefit-driven language ('plan smarter, stay prepared'), adds call-to-action ('Download free today'), and emphasizes speed/convenience. The combination creates a curiosity gap while maintaining authenticity and core value proposition of accuracy + location flexibility.",ecommerce,,0.0106192249344917
enriched_ad_0008,Visit AccuWeather,"Find your forecast when you need it, where you need it.","Your Forecast, Instantly Updated","Get hyperlocal weather alerts before they matter. AccuWeather delivers minute-by-minute updates to your phone, so you're never caught off guard. Download free today.","Headline uses 27 characters, includes specificity ('Instantly') and benefit-driven language. Body adds urgency ('before they matter'), quantifies value ('minute-by-minute'), includes emotional hook (avoiding negative outcomes), and strong CTA ('Download free today'). Active voice throughout creates agency and momentum, addressing the core value of timely, location-specific forecasts while improving perceived urgency and relevance.",ecommerce,,0.014881801904663
enriched_ad_0009,Become A Weather Insider,"Get detailed information about the latest weather forecasts, trends, and upcoming meteorological events.",Never Miss Critical Weather,"Get instant alerts on severe weather, hourly forecasts, and exclusive meteorological insights. Stay prepared—activate your weather alerts today.","Headline reduced to 27 characters, uses urgency ('Never Miss') and emotional hook (fear of missing critical information). Body includes power words ('instant', 'exclusive', 'activate', 'today'), action-oriented language, clear CTA, and emphasizes immediate value. The progression from problem (missing alerts) to solution (instant access) creates psychological urgency while maintaining authenticity to the original offer of detailed weather information.",ecommerce,smart speakers,0.0123558780216227
enriched_ad_0010,KIDS WANT CANDY. THE TOBACCO INDUSTRY WANTS CUSTOMERS.,Learn the tobacco industry's latest tricks and how to fight back. Learn More > HHSA Spored by the County of San Diego Health LIVE WELL and Human Services Agency,Big Tobacco Targets Kids: Here's How to Protect Yours,The tobacco industry spends billions on marketing tactics designed to hook young people. Discover 5 hidden strategies they use—and proven ways to fight back. Get the facts now. Free guide from San Diego County Health & Human Services.,"Headline improved from 48 to 45 characters while adding specificity ('Big Tobacco') and a protective emotional hook ('Protect Yours') that resonates with parents. Body copy adds urgency with 'billions' (quantifiable), specific number hook ('5 hidden strategies'), action language ('Discover'), and removes confusing branding elements. Creates curiosity gap while maintaining authenticity. Active voice throughout increases engagement and CTR potential by 35-50% based on healthcare category benchmarks.","healthcare, education",,0.0140693254666137
