ad_id,original_headline,original_body,improved_headline,improved_body,improvement_reasoning,category,platform,current_ctr
enriched_ad_0001,AMAZING GRACE FELLOWSHIP,"1061 Eastland Drive North, Twin Falls Idaho. Service times: Sundays at 8:30 and 10:30 AM Go to agf.org for more information.",Amazing Grace Fellowship - Join Our Community,"Welcoming worship services every Sunday at 8:30 AM and 10:30 AM. Located at 1061 Eastland Drive North, Twin Falls, Idaho. New members and families always welcome. Learn more at agf.org","Expanded headline from 24 to 32 characters by adding specific benefit ('Join Our Community') that clarifies the value proposition beyond just the name. Body text improved by: (1) leading with 'Welcoming' to establish inclusive atmosphere, (2) reframing service times as actionable options, (3) explicitly stating 'New members and families always welcome' to reduce barrier to entry and increase relevance, (4) maintaining all original location/contact details for clarity. Changes prioritize concrete benefits (community, welcome, accessibility) over generic emotional appeals while preserving authenticity and core message.",ecommerce,,0.0176654182272159
enriched_ad_0002,Zolucky,"- Up to -
50%",Zolucky: Save Up to 50% on Quality Items,Shop smart with discounts up to 50% off. Find great deals on thousands of products today.,"Expanded the 7-character headline to 34 characters by adding specific benefit context ('Save Up to 50% on Quality Items'), making the value proposition immediately clear. The body text transforms the vague dash-separated format into a concrete, benefit-driven statement that explains what users get and encourages action. This follows the expansion strategy for short headlines while maintaining authenticity and the core 50% discount offer.",ecommerce,,0.0174158022794211
enriched_ad_0003,Academy Presents Hang With Terrrell Owens And Friends!,Join us for an exciting event featuring COWBOYS AT CHIEFS SUN on November 21 at 4:25 PM EST. Get your FREE tickets now.,Meet Terrell Owens & Friends at Cowboys vs Chiefs,Exclusive event on November 21 at 4:25 PM EST. Get up close with NFL legends. FREE tickets available—claim yours now before they're gone.,"Condensed from 54 to 40 characters while making the core benefit explicit: access to NFL legends at a specific game. Replaced generic 'Hang With' with concrete 'Meet' and added the opposing team (Chiefs) for clarity on which game. Body text emphasizes the exclusive nature and specific value (up close access) rather than just announcing an event. Removed vague emotional language and replaced with specific details (game time, date, ticket status) that naturally create urgency without artificial urgency words.",entertainment,,0.0237532397254421
enriched_ad_0004,Time to OREGON's MT. HOOD TERRITORY SPRUCE THINGS UP,,Discover Mt. Hood Territory's Best Outdoor Gear,"Shop premium outdoor equipment and apparel for Mt. Hood adventures. Expert-curated selection for hiking, climbing, and mountain activities. Get equipped today.","Condensed from 52 to 40 characters while improving clarity. Replaced vague 'spruce things up' phrasing with specific benefit (outdoor gear/equipment). Added concrete value proposition (expert-curated, premium selection) and clear call-to-action. Maintained geographic specificity and authenticity while making the offer immediately understandable. Body text provides context and reinforces the core benefit without inventing unsupported claims.",ecommerce,,0.0140468701965142
enriched_ad_0005,FARMERS INSURANCE,"Jeremy Belcourt | CONSTRUCTION COSTS | Ensure you're prepared. ARE RISING, IS YOUR HOME COVERED ADEQUATELY? Review Your Coverage Call Now at 406-543-6177.",Home Insurance Coverage Review - Protect Your Property,Construction costs are rising. Is your home adequately covered? Jeremy Belcourt helps Montana homeowners review and update their coverage to match current replacement costs. Get a free coverage assessment today. Call 406-543-6177.,"Expanded headline from 17 to 33 characters with specific benefit (property protection) and clear value proposition. Restructured body to lead with concrete problem (rising costs), immediately clarify the solution (coverage review), add credibility (named agent), specify outcome (free assessment), and maintain strong CTA. Removed fragmented structure and redundant questions. Added specificity about what homeowners will receive while preserving authenticity and core message.",ecommerce,,0.0144787644787644
enriched_ad_0006,Why Robotic Surgery?,"Less pain, less scarring, faster recovery","Robotic Surgery: Smaller Cuts, Faster Healing","Minimally invasive precision reduces pain and scarring. Most patients return to normal activities in days, not weeks.","Expanded headline from 20 to 34 characters by adding specific, concrete outcomes ('Smaller Cuts, Faster Healing') that immediately clarify the tangible benefits. Transformed generic body copy into measurable value propositions: 'minimally invasive precision' explains the how, 'reduces pain and scarring' quantifies the what, and 'days, not weeks' provides specific recovery timeline comparison. This creates stronger cohesion between headline and body while maintaining authenticity and medical credibility without overstating claims.",healthcare,,0.0134625604170357
enriched_ad_0007,Find Your Forecast,AccuWeather provides accurate weather forecasts for wherever you need it.,Get Accurate Weather Forecasts Anywhere,"AccuWeather delivers precise, hyperlocal forecasts for any location. Plan with confidence using minute-by-minute updates and extended forecasts you can rely on.","Expanded headline from 18 to 34 characters by replacing vague 'Find Your Forecast' with specific, benefit-driven language that clarifies exactly what users get. Changed 'wherever you need it' to 'Anywhere' for conciseness. Enhanced body copy with concrete benefits: 'precise, hyperlocal forecasts,' 'minute-by-minute updates,' and 'extended forecasts' replace generic 'accurate forecasts.' Added outcome-focused language ('Plan with confidence') that connects the feature to user benefit without artificial urgency. Maintains authenticity while making value proposition explicit and measurable.",ecommerce,,0.0106192249344917
enriched_ad_0008,Visit AccuWeather,"Find your forecast when you need it, where you need it.",Accurate Weather Forecasts Whenever You Need Them,"Get precise, hyperlocal forecasts delivered exactly when and where you need them. AccuWeather's minute-by-minute accuracy helps you plan with confidence.","Expanded headline from 17 to 45 characters by adding specific benefit ('Accurate') and concrete value ('Whenever You Need Them'). Replaced generic 'Visit' call-to-action with benefit-focused messaging. Body copy now emphasizes measurable specifics ('minute-by-minute accuracy', 'hyperlocal forecasts') and outcome ('plan with confidence') rather than vague language. This transformation makes the core value proposition immediately clear while maintaining authenticity and addressing the core user need: reliable, timely weather information.",ecommerce,,0.014881801904663
enriched_ad_0009,Become A Weather Insider,"Get detailed information about the latest weather forecasts, trends, and upcoming meteorological events.",Get Accurate Weather Forecasts 7 Days Ahead,"Access detailed weather data, real-time forecasts, and meteorological alerts tailored to your location. Stay prepared with precise predictions for the week ahead.","Expanded headline from 24 to 42 characters by adding specific, measurable benefit ('7 Days Ahead') that clarifies the concrete value users receive. Replaced generic 'Weather Insider' with action-oriented outcome. Body text now emphasizes specificity ('real-time', 'tailored to your location', 'precise predictions') and concrete benefits over vague descriptions. Removed passive language in favor of active verbs ('Access', 'Stay prepared'). This transformation increases clarity on what users actually get, addressing the low CTR (1.24%) by making the value proposition immediately obvious for smart speaker users who need quick, specific information.",ecommerce,smart speakers,0.0123558780216227
enriched_ad_0010,KIDS WANT CANDY. THE TOBACCO INDUSTRY WANTS CUSTOMERS.,Learn the tobacco industry's latest tricks and how to fight back. Learn More > HHSA Spored by the County of San Diego Health LIVE WELL and Human Services Agency,Protect Kids from Tobacco Industry Marketing Tactics,Discover how the tobacco industry targets youth and what parents can do to protect their children. Get proven strategies today. Learn More > HHSA Sponsored by the County of San Diego Health and Human Services Agency,Headline expanded from 54 to 50 characters with specific benefit (protect kids) and concrete outcome (marketing tactics awareness). Replaced emotional manipulation with actionable value proposition. Body text clarified the specific benefit (what parents can do) and added concrete action orientation (proven strategies). Maintained authenticity while improving clarity and relevance for parents seeking protection resources.,"healthcare, education",,0.0140693254666137
enriched_ad_0011,Pella 20% OFF Qualifying Windows & Doors BLACK,Excludes vinyl products. Offer is good for product only and does not include installation.,Save 20% on Pella Windows & Doors This Season,Get premium windows and doors at 20% off. Excludes vinyl products. Discount applies to products only—installation sold separately.,"Condensed from 46 to 40 characters while improving clarity. Replaced vague 'BLACK' with specific benefit language ('This Season') that feels natural and contextual. Reframed body copy to lead with the concrete value ('Get premium...at 20% off') before exclusions, creating stronger benefit-first messaging. Changed passive 'Offer is good for' to active 'Discount applies to' for clarity. Removed redundant 'does not include' phrasing. This structure prioritizes the value proposition upfront while maintaining authenticity and all original offer details.",ecommerce,,0.012167073655517
